Thu Nov 21 15:50:49 2013    profile.txt

         1517395 function calls (1517211 primitive calls) in 10.700 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.003    0.003 sre_parse.py:738(parse)
        3    0.000    0.000    0.000    0.000 {built-in method any}
       10    0.000    0.000    0.000    0.000 {built-in method max}
        1    0.000    0.000    0.000    0.000 ElementTree.py:149(Element)
        1    0.000    0.000    0.000    0.000 abc.py:132(<setcomp>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x029746A8}
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
        7    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1147(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:593(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 {built-in method exp}
        1    0.000    0.000    0.000    0.000 ElementTree.py:614(ElementTree)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1656(__import__)
        1    0.000    0.000    0.002    0.002 sre_compile.py:474(_code)
        7    0.000    0.000    0.000    0.000 sre_parse.py:136(__setitem__)
        4    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:654(load_module)
        1    0.000    0.000    0.000    0.000 contextlib.py:85(contextmanager)
        2    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1511(XMLParser)
        1    0.000    0.000    0.000    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.000    0.000 sre_parse.py:180(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1490(_sanity_check)
        6    0.000    0.000    0.000    0.000 {built-in method globals}
        1    0.000    0.000    0.000    0.000 functools.py:63(wraps)
        2    0.000    0.000    0.000    0.000 sre_compile.py:471(isstring)
        1    0.000    0.000    0.000    0.000 {built-in method compile}
        2    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
        1    0.000    0.000    0.000    0.000 ElementTree.py:567(QName)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1421(TreeBuilder)
        1    0.000    0.000    0.000    0.000 sabot.py:3(Sabot)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_md5}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1187(_ListDataStream)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:145(ExitStack)
        1    0.000    0.000    0.000    0.000 sre_parse.py:726(fix_flags)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha224}
        1    0.000    0.000    0.005    0.005 re.py:212(compile)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1736(iterparse)
        1    0.000    0.000    0.000    0.000 random.py:623(SystemRandom)
        2    0.000    0.000    0.000    0.000 {built-in method log}
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha1}
        1    0.000    0.000    0.000    0.000 sre_parse.py:69(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha384}
