Fri Nov 22 14:52:50 2013    profile

         12177173 function calls (12176988 primitive calls) in 53.579 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1145(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1654(__import__)
        7    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:135(__setitem__)
        1    0.000    0.000    0.000    0.000 {method 'findall' of 'xml.etree.ElementTree.Element' objects}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:614(ElementTree)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\contextlib.py:85(contextmanager)
        7    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:84(closegroup)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:652(load_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1488(_sanity_check)
        1    0.000    0.000    0.002    0.002 C:\Python33\lib\sre_compile.py:471(_code)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:179(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:1511(XMLParser)
        6    0.000    0.000    0.000    0.000 {built-in method globals}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:567(QName)
        3    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:1187(_ListDataStream)
        2    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_compile.py:468(isstring)
        2    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:73(opengroup)
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:1421(TreeBuilder)
        3    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\contextlib.py:145(ExitStack)
        1    0.000    0.000    0.000    0.000 .\sabot.py:3(Sabot)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_md5}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:725(fix_flags)
        2    0.000    0.000    0.000    0.000 {built-in method log}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\sre_parse.py:68(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\functools.py:63(wraps)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:1736(iterparse)
        1    0.000    0.000    0.005    0.005 C:\Python33\lib\re.py:212(compile)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\random.py:630(SystemRandom)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha256}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\contextlib.py:33(_GeneratorContextManager)
        1    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha1}
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha384}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:1265(_IterParseIterator)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementPath.py:237(_SelectorContext)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha512}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:1714(ElementTree)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\contextlib.py:119(closing)
        1    0.000    0.000    0.000    0.000 {built-in method openssl_sha224}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\contextlib.py:10(ContextDecorator)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:616(__init__)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:116(ParseError)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method sqrt}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\__init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {built-in method id}
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\__init__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Python33\lib\xml\etree\ElementTree.py:628(getroot)


